岗位编码	src/views/system/position/index.vue:211 [script], src/views/system/position/index.vue:221 [script]
岗位名称	src/views/system/position/index.vue:210 [script], src/views/system/position/index.vue:220 [script]
更新时间	src/views/system/module/index.vue:194 [script], src/views/system/role/index.vue:233 [script]
工作经历	src/views/system/user/components/UserFormDialog.vue:237 [text], src/views/system/user/components/UserProfileForm.vue:88 [text]
工作描述	src/views/system/user/components/UserFormDialog.vue:293 [attr:label], src/views/system/user/components/UserProfileForm.vue:151 [attr:label]
公司名称	src/views/system/user/components/UserFormDialog.vue:246 [attr:label], src/views/system/user/components/UserProfileForm.vue:97 [attr:label]
关联员工ID	src/views/system/user/components/UserDetail.vue:22 [attr:label], src/views/system/user/components/UserFormDialog.vue:109 [attr:label]
国企	src/views/basic/customer/index.vue:239 [script], src/views/basic/supplier/index.vue:453 [script]
合资	src/views/basic/customer/index.vue:242 [script], src/views/basic/supplier/index.vue:456 [script]
合作状态	src/views/basic/supplier/index.vue:520 [script], src/views/basic/supplier/index.vue:530 [script]
核心	src/views/basic/customer/index.vue:247 [script], src/views/basic/supplier/index.vue:443 [script]
基础信息	src/views/system/config/index.vue:1066 [script], src/views/system/user/components/UserFormDialog.vue:11 [attr:tab]
家庭住址	src/views/system/user/components/UserFormDialog.vue:198 [attr:label], src/views/system/user/components/UserProfileForm.vue:47 [attr:label]
价值等级	src/views/basic/customer/index.vue:270 [script], src/views/basic/customer/index.vue:281 [script]
角色编码	src/views/system/role/index.vue:228 [script], src/views/system/role/index.vue:238 [script]
角色名称	src/views/system/role/index.vue:227 [script], src/views/system/role/index.vue:237 [script]
结束时间	src/views/system/user/components/UserFormDialog.vue:280 [attr:label], src/views/system/user/components/UserProfileForm.vue:138 [attr:label]
介绍人	src/views/system/user/components/UserFormDialog.vue:228 [attr:label], src/views/system/user/components/UserProfileForm.vue:78 [attr:label]
紧急联系电话	src/views/system/user/components/UserFormDialog.vue:217 [attr:label], src/views/system/user/components/UserProfileForm.vue:67 [attr:label]
紧急联系人	src/views/system/user/components/UserFormDialog.vue:209 [attr:label], src/views/system/user/components/UserProfileForm.vue:58 [attr:label]
经营状态	src/views/basic/customer/index.vue:272 [script], src/views/basic/customer/index.vue:283 [script]
开始时间	src/views/system/user/components/UserFormDialog.vue:270 [attr:label], src/views/system/user/components/UserProfileForm.vue:127 [attr:label]
客户	src/views/auth/init-wizard/index.vue:67 [text], src/views/label/print/index.vue:64 [attr:label]
客户编码	src/views/basic/customer/index.vue:268 [script], src/views/basic/customer/index.vue:279 [script]
客户唛头	src/views/label/print/index.vue:11 [text], src/views/label/template/components/TemplateFormDialog.vue:54 [text]
模板名称	src/views/label/record/index.vue:144 [script], src/views/label/template/components/TemplateFormDialog.vue:25 [attr:label]
模块编码	src/views/system/module/index.vue:189 [script], src/views/system/module/index.vue:199 [script]
模块名称	src/views/system/module/index.vue:188 [script], src/views/system/module/index.vue:198 [script]
默认	src/views/label/print/index.vue:25 [text], src/views/system/user/components/UserDetail.vue:67 [text]
批次标签	src/views/label/template/components/TemplateFormDialog.vue:48 [text], src/views/label/template/index.vue:94 [script]
批次号	src/views/label/record/index.vue:150 [script], src/views/label/template/components/LabelTemplateEditor.vue:267 [script]
普通	src/views/auth/init-wizard/index.vue:14 [text], src/views/basic/customer/index.vue:250 [script]
请输入工作描述	src/views/system/user/components/UserFormDialog.vue:296 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:154 [attr:placeholder]
请输入公司名称	src/views/system/user/components/UserFormDialog.vue:249 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:100 [attr:placeholder]
请输入家庭住址	src/views/system/user/components/UserFormDialog.vue:201 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:50 [attr:placeholder]
请输入介绍人	src/views/system/user/components/UserFormDialog.vue:231 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:81 [attr:placeholder]
请输入紧急联系电话	src/views/system/user/components/UserFormDialog.vue:220 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:70 [attr:placeholder]
请输入紧急联系人	src/views/system/user/components/UserFormDialog.vue:212 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:61 [attr:placeholder]
请输入职位	src/views/system/user/components/UserFormDialog.vue:257 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:109 [attr:placeholder]
请选择结束时间	src/views/system/user/components/UserFormDialog.vue:283 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:141 [attr:placeholder]
请选择开始时间	src/views/system/user/components/UserFormDialog.vue:273 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:130 [attr:placeholder]
请选择学历	src/views/system/user/components/UserFormDialog.vue:162 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:29 [attr:placeholder]
请选择政治面貌	src/views/system/user/components/UserFormDialog.vue:149 [attr:placeholder], src/views/system/user/components/UserProfileForm.vue:13 [attr:placeholder]
入职时间	src/views/system/user/components/UserDetail.vue:31 [attr:label], src/views/system/user/components/UserFormDialog.vue:66 [attr:label]
手机号	src/views/system/user/components/UserDetail.vue:19 [attr:label], src/views/system/user/components/UserFormDialog.vue:46 [attr:label]
数据库类型	src/views/report/datasource/index.vue:264 [script], src/views/report/datasource/index.vue:274 [script]
数据源	src/views/report/components/ReportForm.vue:58 [attr:label], src/views/report/index.vue:151 [script]
数据源编码	src/views/report/datasource/index.vue:263 [script], src/views/report/datasource/index.vue:273 [script]
数据源名称	src/views/report/datasource/index.vue:262 [script], src/views/report/datasource/index.vue:272 [script]
所属部门	src/views/system/user/components/UserDetail.vue:34 [attr:label], src/views/system/user/components/UserFormDialog.vue:79 [attr:label]
条码号	src/views/label/record/index.vue:146 [script], src/views/label/record/index.vue:161 [script]
外资	src/views/basic/customer/index.vue:241 [script], src/views/basic/supplier/index.vue:455 [script]
未关联	src/views/basic/customer/index.vue:258 [script], src/views/basic/supplier/index.vue:506 [script]
物料标签	src/views/label/template/components/TemplateFormDialog.vue:45 [text], src/views/label/template/index.vue:93 [script]
物料分类	src/views/basic/material/index.vue:235 [script], src/views/basic/material/index.vue:248 [script]
物料类型	src/views/basic/material/index.vue:234 [script], src/views/basic/material/index.vue:247 [script]
消息编码	src/views/system/i18nMessage/index.vue:136 [script], src/views/system/i18nMessage/index.vue:145 [script]
新增	src/views/system/operationLog/index.vue:135 [script], src/views/system/operationLog/index.vue:136 [script]
性别	src/views/system/user/components/UserDetail.vue:28 [attr:label], src/views/system/user/components/UserFormDialog.vue:57 [attr:label]
修改	src/views/system/operationLog/index.vue:137 [script], src/views/system/operationLog/index.vue:138 [script]
序号	src/views/label/record/index.vue:304 [script], src/views/label/record/index.vue:311 [script]
选择模板	src/views/label/binding/components/BindingFormDialog.vue:11 [attr:label], src/views/label/print/index.vue:21 [attr:label]
学历	src/views/system/user/components/UserFormDialog.vue:159 [attr:label], src/views/system/user/components/UserProfileForm.vue:26 [attr:label]
已关联	src/views/basic/customer/index.vue:258 [script], src/views/basic/supplier/index.vue:505 [script]
用户来源	src/views/system/user/components/UserDetail.vue:25 [attr:label], src/views/system/user/components/UserFormDialog.vue:117 [attr:label]
用户名称	src/views/system/operationLog/index.vue:155 [script], src/views/system/operationLog/index.vue:170 [script]
邮箱	src/views/system/user/components/UserDetail.vue:16 [attr:label], src/views/system/user/components/UserFormDialog.vue:38 [attr:label]
政治面貌	src/views/system/user/components/UserFormDialog.vue:146 [attr:label], src/views/system/user/components/UserProfileForm.vue:10 [attr:label]
职位	src/views/system/user/components/UserFormDialog.vue:254 [attr:label], src/views/system/user/components/UserProfileForm.vue:106 [attr:label]
字典编码	src/views/system/dict/index.vue:139 [script], src/views/system/dict/index.vue:150 [script]
字典名称	src/views/system/dict/index.vue:140 [script], src/views/system/dict/index.vue:151 [script]
字段名	src/views/label/record/index.vue:305 [script], src/views/system/userTableConfig/index.vue:263 [script]
租户	src/views/auth/init-wizard/index.vue:71 [text], src/views/system/online/index.vue:107 [script]
